Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
213,Tyus Jones\jonesty01,PG,23,MEM,8,0,170,24,60,.400,2,14,.143,22,46,.478,.417,11,16,.688,0,10,10,38,11,0,11,11,61
214,DeAndre Jordan\jordade01,C,31,BRK,7,3,148,18,32,.563,0,0,,18,32,.563,.563,7,15,.467,16,49,65,11,3,9,10,18,43
215,Cory Joseph\josepco01,PG,28,SAC,9,0,155,23,53,.434,3,13,.231,20,40,.500,.462,9,9,1.000,7,12,19,20,3,4,12,15,58
216,Mfiondu Kabengele\kabenmf01,C,22,LAC,3,0,7,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,0,0,1,0,1,3
217,Frank Kaminsky\kaminfr01,C,26,PHO,8,0,191,24,66,.364,5,28,.179,19,38,.500,.402,27,36,.750,6,39,45,19,1,3,15,17,80
218,Enes Kanter\kanteen01,C,27,BOS,1,1,25,5,8,.625,0,1,.000,5,7,.714,.625,2,7,.286,3,3,6,2,0,0,0,3,12
219,Luke Kennard\kennalu01,SG,23,DET,10,7,326,58,128,.453,28,66,.424,30,62,.484,.563,36,41,.878,3,34,37,43,2,0,17,20,180
220,Stanton Kidd\kiddst01,SF,27,UTA,3,0,13,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,1,0,0,2,2,0
221,Michael Kidd-Gilchrist\kiddgmi01,SF,26,CHO,1,0,10,2,7,.286,1,1,1.000,1,6,.167,.357,0,0,,1,3,4,0,0,0,1,1,5
222,Maxi Kleber\klebima01,PF,28,DAL,7,2,192,23,51,.451,10,29,.345,13,22,.591,.549,10,11,.909,10,37,47,8,2,8,7,19,66
223,Brandon Knight\knighbr03,PG,28,CLE,3,0,38,5,15,.333,5,13,.385,0,2,.000,.500,1,2,.500,0,3,3,7,1,0,3,6,16
224,Kevin Knox\knoxke01,SF,20,NYK,9,0,206,31,70,.443,17,36,.472,14,34,.412,.564,15,22,.682,5,26,31,11,6,1,7,16,94
225,Furkan Korkmaz\korkmfu01,SG,22,PHI,8,1,164,23,50,.460,16,34,.471,7,16,.438,.620,9,12,.750,1,17,18,7,1,3,7,12,71
226,Luke Kornet\kornelu01,C,24,CHI,9,0,110,14,40,.350,5,21,.238,9,19,.474,.413,5,5,1.000,5,13,18,6,1,7,3,10,38
227,Kyle Korver\korveky01,SG,38,MIL,8,0,127,20,44,.455,17,35,.486,3,9,.333,.648,3,5,.600,4,10,14,1,2,1,7,9,60
228,Rodions Kurucs\kurucro01,SF,21,BRK,7,0,83,6,17,.353,2,3,.667,4,14,.286,.412,2,6,.333,5,14,19,1,3,0,9,14,16
229,Kyle Kuzma\kuzmaky01,PF,24,LAL,4,0,81,15,40,.375,3,23,.130,12,17,.706,.413,3,5,.600,2,13,15,2,0,1,8,5,36
230,Skal Labissière\labissk01,PF,23,POR,9,0,123,23,39,.590,0,1,.000,23,38,.605,.590,8,12,.667,19,13,32,6,1,8,11,28,54
231,Jeremy Lamb\lambje01,SG,27,IND,5,5,165,31,68,.456,6,21,.286,25,47,.532,.500,17,20,.850,5,27,32,11,7,4,6,14,85
232,Romeo Langford\langfro01,SG,20,BOS,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
233,Zach LaVine\lavinza01,SG,24,CHI,9,9,290,67,152,.441,22,57,.386,45,95,.474,.513,28,37,.757,12,31,43,36,11,5,30,23,184
234,Jake Layman\laymaja01,PF,25,MIN,8,0,202,30,75,.400,11,31,.355,19,44,.432,.473,5,6,.833,6,15,21,5,7,5,10,18,76
235,T.J. Leaf\leaftj01,PF,22,IND,7,1,87,12,31,.387,2,6,.333,10,25,.400,.419,2,2,1.000,11,18,29,4,3,1,5,13,28
236,Courtney Lee\leeco01,SG,34,DAL,3,3,26,4,9,.444,0,3,.000,4,6,.667,.444,0,0,,0,1,1,0,0,0,0,2,8
237,Damion Lee\leeda03,SG,27,GSW,9,0,196,29,73,.397,11,28,.393,18,45,.400,.473,28,33,.848,8,28,36,18,7,0,12,17,97
238,Alex Len\lenal01,C,26,ATL,8,8,141,12,37,.324,2,15,.133,10,22,.455,.351,6,9,.667,9,29,38,8,3,12,8,16,32
239,Kawhi Leonard\leonaka01,SF,28,LAC,7,7,216,73,158,.462,11,36,.306,62,122,.508,.497,46,53,.868,10,47,57,38,15,8,24,18,203
240,Meyers Leonard\leoname01,C,27,MIA,9,9,177,27,45,.600,11,17,.647,16,28,.571,.722,4,6,.667,3,32,35,7,5,6,8,26,69
241,Caris LeVert\leverca01,SG,25,BRK,8,8,258,55,130,.423,13,36,.361,42,94,.447,.473,20,31,.645,10,33,43,31,6,1,29,20,143
242,Damian Lillard\lillada01,PG,29,POR,9,9,342,102,206,.495,37,93,.398,65,113,.575,.585,59,65,.908,4,41,45,62,12,4,23,19,300
243,Nassir Little\littlna01,SF,19,POR,2,0,21,3,6,.500,0,0,,3,6,.500,.500,2,2,1.000,1,2,3,0,1,1,0,4,8
